"","model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize"
"2492","1 Series",2017,15450,"Semi-Auto",19383,"Diesel",150,72.4,1.5
"2493","1 Series",2017,20990,"Semi-Auto",25249,"Diesel",150,61.4,2
"2494","5 Series",2019,25490,"Semi-Auto",5656,"Petrol",150,50.4,2
"2495","3 Series",2019,37490,"Semi-Auto",9565,"Petrol",150,34.9,3
"2496","5 Series",2020,42124,"Semi-Auto",101,"Petrol",145,39.2,3
"2497","X6",2016,27750,"Semi-Auto",38680,"Diesel",200,47.1,3
"2498","X3",2019,31200,"Semi-Auto",17173,"Petrol",145,30.4,2
"2499","4 Series",2019,34885,"Semi-Auto",4883,"Diesel",145,60.1,2
"2500","1 Series",2019,32760,"Semi-Auto",2690,"Petrol",145,34.5,2
"2501","4 Series",2019,22690,"Semi-Auto",4940,"Diesel",150,65.7,2
"2502","4 Series",2019,22490,"Semi-Auto",7949,"Diesel",150,65.7,2
"2503","X3",2020,32490,"Semi-Auto",6565,"Diesel",150,54.3,2
"2504","2 Series",2018,18990,"Semi-Auto",13600,"Petrol",150,38.2,2
"2505","3 Series",2017,20030,"Semi-Auto",44751,"Petrol",145,48.7,2
"2506","4 Series",2017,20385,"Semi-Auto",19221,"Diesel",145,65.7,2
"2507","3 Series",2018,21420,"Semi-Auto",21328,"Diesel",145,60.1,2
"2508","4 Series",2016,19972,"Semi-Auto",15705,"Petrol",145,48.7,2
"2509","4 Series",2018,21216,"Semi-Auto",11685,"Diesel",145,65.7,2
"2510","3 Series",2019,20298,"Manual",6018,"Diesel",145,64.2,2
"2511","4 Series",2019,32087,"Semi-Auto",1678,"Diesel",145,65.7,2
"2512","X3",2019,34991,"Semi-Auto",2549,"Diesel",145,54.3,2
"2513","3 Series",2016,16200,"Semi-Auto",17252,"Diesel",30,62.8,2
"2514","X4",2020,49481,"Semi-Auto",101,"Diesel",145,37.2,3
"2515","X4",2020,41904,"Semi-Auto",101,"Diesel",145,42.8,2
"2516","1 Series",2020,26991,"Semi-Auto",5,"Petrol",145,40.4,1.5
